Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,10 word summary,Place of Publish (1st author),Country of Publication (1st Author),Place of Publish,Country of Publication (Rest of authors),Place of Work,Type of Document,Method of Research,Method of Research,Method of Research,Method of Research,Method of Research,Method of Research,Method of Research,Method of Research,GSRank,QueryDate,Type,Second Keyword,,,,,,,,,,,
2,"E Johnson, B Kolko, O Salikhbaeva",Boundaries and information: Sidestepping restrictions through Internet conversations,2009,First Monday,firstmonday.org,http://firstmonday.org/htbin/cgiwrap/bin/ojs/index.php/fm/article/viewArticle/2505,"http://scholar.google.com/scholar?cites=14338556133592528337&as_sdt=2005&sciodt=0,5&hl=en&num=20",examine exchange of information in Central Asian restricted networks,University of Washington,US,n/a,n/a,"KZ, KG, TJ, UZ",Scholarly Article,1,,,,,,,,381,4/1/2015,,poverty,,,,,,,,,,,
2,NLA Álvarez,"Co-created tools for teaching, learning and designing services in Colombia. Facilitating interdisciplinary learning in service design innovation",2012,"ServDes 2012, Helsinki, Finland",servdes.org,http://www.ep.liu.se/ecp/067/002/ecp1267002.pdf,"http://scholar.google.com/scholar?cites=4965449937321407689&as_sdt=2005&sciodt=0,5&hl=en&num=20",lessons and tools from a design course in Colombia,Universidad Tecnológica de Pereira (Colombia),CO,n/a,n/a,CO,Scholarly Article,1,,,,,,,,44,3/30/2015,PDF,low-income,developing countries,,,,,,,,,,
2,"S Fox, C Le Dantec",Community historians: scaffolding community engagement through culture and heritage,2014,Proceedings of the 2014 conference on Designing …,dl.acm.org,https://drive.google.com/open?id=0B_bAdNcWxr9KREJ0alVRQVFnbkU,"http://scholar.google.com/scholar?cites=12056137972426658833&as_sdt=2005&sciodt=0,5&hl=en&num=20",participatory workshops for citizen engagement in a low-income community,University of Washington (US),US,Georgia Tech (US),US,US,Scholarly Article,1,,,,,,,,268,4/1/2015,,poverty,low-income,,,,,,,,,,
2,"Z Fu, X Zhang",Designing for social urban media: creating an integrated framework of social innovation and service design in china,2011,"Internationalization, Design and Global Development",Springer,https://drive.google.com/open?id=0B_bAdNcWxr9KUkVxeE91U05aV2s,"http://scholar.google.com/scholar?cites=1875572465710857150&as_sdt=2005&sciodt=0,5&hl=en&num=20",Integrating urban living and media in China,Tsinghua University (China),CN,n/a,CN,CN,Scholarly Article,1,,,,,,,,67,3/30/2015,,low-income,global development,,,,,,,,,,
2,"ML Gilliam, SL Martins, E Bartlett, SQ Mistretta…",Development and testing of an iOS waiting room “app” for contraceptive counseling in a Title X family planning clinic,2014,American journal of …,Elsevier,https://drive.google.com/open?id=0B_bAdNcWxr9KNDkzTjdLdktNbzg,"http://scholar.google.com/scholar?cites=2161908898165853082&as_sdt=2005&sciodt=0,5&hl=en&num=20",family planning app for Title X clinics in Chicago,University of Chicago (US),US,n/a,"US, US, US, US",US,Scholarly Article,1,,,,,,,,68,3/30/2015,,low-income,,,,,,,,,,,
2,"M Kam, A Tibuzzi, X Hua",Location-based services for low-income communities in the California Central Valley,2004,Proc. of Berkeley EECS annual …,eecs.berkeley.edu,http://www.eecs.berkeley.edu/bears/2004/STARS/final/kam.pdf ,"http://scholar.google.com/scholar?cites=14710878604319899052&as_sdt=2005&sciodt=0,5&hl=en&num=20",case study of mobile phone project,UC Berkeley (US),US,"University of Trento (Italy), UC Santa Cruz (US)","IT,US",US,Scholarly Article,1,,,,,,,,36,3/30/2015,PDF,low-income,,,,,,,,,,,
2,"R Vedanthan, JH Kamano, CR Horowitz…",Nurse Management of Hypertension in Rural Western KE: Implementation Research to Optimize Delivery,2014,Annals of global …,Elsevier,https://drive.google.com/open?id=0B_bAdNcWxr9KdHJNOVlXZk1IakE,"http://scholar.google.com/scholar?cites=10024099641375228369&as_sdt=2005&sciodt=0,5&hl=en&num=20",implementation of nurse management system in KE,Icahn School of Medicine at Mount Sinai (US),US,"Moi Teaching and Referral Hospital (KE), Duke (US), Moi University College of Health Sciences (KE), Centro Nacional de Investigaciones Cardiovasculares (Spain)","KE,US,ES",KE,Scholarly Article,1,,,,,,,,1,3/30/2015,HTML,resource-limited settings,resource-limited,low-income,developing countries,developing world,international development,,,,,,
2,"F Kamoun, N Werghi, M Al Blushi",On the Appropriateness of Incident Management Systems in Developing Countries: A Case from the UAE,2010,Journal of technology …,SciELO Chile,http://www.jotmi.org/index.php/GT/article/viewArticle/595 ,"http://scholar.google.com/scholar?cites=8539544356590669577&as_sdt=2005&sciodt=0,5&hl=en&num=20",road traffic management system in UAE,University of Dubai (UAE),AE,"Khalifa University of Science Technology and Research (UAE), UAE University (UAE)","AE, AE",AE,Scholarly Article,1,,,,,,,,3,3/30/2015,HTML,Global Inequality,developing countries,,,,,,,,,,
2,"B Aryana, C Boks, A Navabi",Possibilities for cultural customization of mobile communication devices: the case of IRian mobile users,2011,Human Centered Design,Springer,https://drive.google.com/open?id=0B_bAdNcWxr9KUGNQWnVSUm1FajQ,"http://scholar.google.com/scholar?cites=16748677392246210401&as_sdt=2005&sciodt=0,5&hl=en&num=20",participatory design of mobile communication device,Norwegian University of Science and Technology (Norway),NO,Chalmers University of Technology (Sweden),"NO, SE",IR,Scholarly Article,1,,,,,,,,53,3/30/2015,,low-income,developing countries,,,,,,,,,,
2,"W Brunette, M Hicks, A Hope, G Ruddy…",Reducing Maternal Mortality: An Ultrasound System for Village Midwives,2011,"… (GHTC), 2011 IEEE",ieeexplore.ieee.org,https://drive.google.com/open?id=0B_bAdNcWxr9KUE54LU1acC1pejA,"http://scholar.google.com/scholar?cites=2263817833202254787&as_sdt=2005&sciodt=0,5&hl=en&num=20",ultrasound for village midwives in Uganda,University of Washington (US),US,"University of Washington Medical Center (US), MIT Media Lab (US), Pacific Medical Centers (US)","US, US, US, US, US",UG,Scholarly Article,1,,,,,,,,290,4/1/2015,,poverty,low-resource settings,low-resource,low-income,developing countries,developing world,,,,,,
2,"B Kolko, C Putnam, E Rose, E Johnson",Reflection on research methodologies for ubicomp in developing contexts,2011,Personal and Ubiquitous …,Springer,https://drive.google.com/open?id=0B_bAdNcWxr9KWVdOUklfQ1NZNlE,"http://scholar.google.com/scholar?cites=15205267142469159457&as_sdt=2005&sciodt=0,5&hl=en&num=20",experience adapting HCD research to Central Asian context,University of Washington (US),US,"DePaul University (US), UNC (US)","US, US, US","UZ, TJ, KG, KZ",Scholarly Article,1,1,1,,,,,,105,4/1/2015,,developing countries,developing world,international development,global development,,,,,,,,
1,"AE Wood, CA Mattson",A Method for Determining Customer Needs in the Developing World,2014,ASME 2014 …,… .asmedigitalcollection.asme.org,http://proceedings.asmedigitalcollection.asme.org/proceeding.aspx?articleid=2090544,"http://scholar.google.com/scholar?cites=10468452196661776299&as_sdt=2005&sciodt=0,5&hl=en&num=20","method for determining customer needs, with case studies",Brigham Young University,US,n/a,US,"IN, PE",Scholarly Article,1,,,,,,1,,352,4/1/2015,,poverty,low-resource,developing world,,,,,,,,,
1,"R Chaudhri, D Vlachos, G Borriello…",Decentralized human milk banking with ODK sensors,2013,Proceedings of the 3rd …,dl.acm.org,http://dev3.acmdev.org/papers/dev-final23.pdf,"http://scholar.google.com/scholar?cites=7457255599958478074&as_sdt=2005&sciodt=0,5&hl=en&num=20",affordable system to monitor breast milk pasteurization durban,University of Washington,US,University of KwaZulu-Natal,"US, US, ZA, ZA, ZA, ZA",ZA,Scholarly Article,1,1,,,,,,,9,3/30/2015,,low-resource settings,low-resource,developing countries,,,,,,,,,
1,K Pecknold,Dialogue through design: visual communication across the cultural divide,2009,Proceedings of the seventh ACM conference on …,dl.acm.org,https://drive.google.com/open?id=0B_bAdNcWxr9KU0lOdlctS093Yjg,"http://scholar.google.com/scholar?cites=14611999061713733559&as_sdt=2005&sciodt=0,5&hl=en&num=20",PROBES CASE STUDY RWANDA FOR NEXT STEP DESIGN PROCESS,"Emily Carr Universiy Art + Design Vancouver, BC",CA,n/a,n/a,RW,Scholarly Article,1,,,,,,,,51,4/1/2015,,poverty,developing countries,developing world,international development,,,,,,,,
1,"P Cole, J Pinfold, G Ho, M Anda",Examining the methodology of participatory design to create innovative sanitation technologies in rural Malawi,2013,,researchrepository.murdoch.edu.au,http://researchrepository.murdoch.edu.au/22141/,"http://scholar.google.com/scholar?cites=1039674010224645323&as_sdt=2005&sciodt=0,5&hl=en&num=20",developing sanitation solutions case study with local farmers Malawi,Murdoch University,AU,UNICEF,"AU, AU, AU",MW,Scholarly Article,1,,,,,,,,9,3/30/2015,,developing economies,international development,,,,,,,,,,
1,"G Yan, W Qiong",Experience Design on m-Commerce in China (Digital Marketing Oriented Social Innovation Design,2011,"Internationalization, Design and Global Development",Springer,https://drive.google.com/open?id=0B_bAdNcWxr9KVmVadFl6NzlHWDg,"http://scholar.google.com/scholar?cites=8056776945661724201&as_sdt=2005&sciodt=0,5&hl=en&num=20","In this paper, we take marketing as a point to discuss the social innovation design in m-Commerce.",Tsinghua University,CN,n/a,CN,CN,Scholarly Article,1,,,,,,,,63,4/1/2015,,global development,,,,,,,,,,,
1,"A Kumar, S Maskara, IJ Chiang",Health care satisfaction among foreign residents in Taiwan–An assessment and improvement,2014,Technology and Health Care,IOS Press,https://drive.google.com/open?id=0B_bAdNcWxr9KOTlXZExaVjM4VWc,"http://scholar.google.com/scholar?cites=4301879790661869377&as_sdt=2005&sciodt=0,5&hl=en&num=20",satisfaction level study of taiwanese hospital,"Graduate Institute of Biomedical Informatics, Taipei Medical University, Taipei, Taiwan",TW,"Ovens and King, Community Health Services, Wangaratta, Australia Graduate Institute of Biomedical Informatics, Taipei Medical University, Taipei, Taiwan and Institute of Biomedical Engineering, National Taiwan University, Taipei, Taiwan","TW, TW",TW,Scholarly Article,,,1,,,,,,51,4/1/2015,,third world,,,,,,,,,,,
1,"S Shahid, E Krahmer",Human-centred Design in the Developing World: Towards designing didactic games for children,2009,,pure.uvt.nl,https://pure.uvt.nl/portal/files/1191124/human-centred-design-in-the-developing-world.pdf ,"http://scholar.google.com/scholar?cites=8197478406816900213&as_sdt=2005&sciodt=0,5&hl=en&num=20",participatory design workshops in pakistan for didactic games,"University of Tilburg, Tilburg, The Netherlands",NL,n/a,n/a,PK,Scholarly Article,1,,,,,,,,123,4/1/2015,PDF,developing countries,developing world,international development,,,,,,,,,
1,"B Ariyatum, R Holland, P Sirisalee…",Identifying Strategic Directions for Design Development of General Hospital Equipment for Thailand,2009,The Design …,ingentaconnect.com,https://drive.google.com/open?id=0B_bAdNcWxr9KSVE1N1QzWWFaQkE,"http://scholar.google.com/scholar?cites=1784259103264997266&as_sdt=2005&sciodt=0,5&hl=en&num=20",design rationale research methods and findings for medical device design/development thailand,Brunel University London,GB,"Brunel University,, Thailand Science Parky","GB, TH, TH",TH,Scholarly Article,1,,,,,,,,216,4/1/2015,,developing countries,,,,,,,,,,,
1,"D Löffler, K Lindner, J Hurtienne",Mixing languages': image schema inspired designs for rural Africa,2014,CHI'14 Extended Abstracts on Human …,dl.acm.org,https://drive.google.com/open?id=0B_bAdNcWxr9KU2dUc3NRS25CZ3M,"http://scholar.google.com/scholar?cites=1819816923258327099&as_sdt=2005&sciodt=0,5&hl=en&num=20",metaphor comparison btw Swahili and English,University of Wurzburg,DE,"Promotionskolleg Mikroenergie-
Systeme","DE, DE",TZ,Scholarly Article,1,,,,,,,,72,3/30/2015,,low-income,,,,,,,,,,,
1,"K Asano, K Yamazaki",Observation Analysis Method for Culture Centered Design–Proposal of KH Method–,2013,"Design, User Experience, and Usability. Health, …",Springer,https://drive.google.com/open?id=0B_bAdNcWxr9KX1pMMHJ4aUFlXzg,"http://scholar.google.com/scholar?cites=10741612983946437308&as_sdt=2005&sciodt=0,5&hl=en&num=20",observational method for designing -,Chiba Institute of Technology,JP,n/a,JP,JP,Scholarly Article,1,1,1,,,,1,,138,4/1/2015,,developing countries,,,,,,,,,,,
1,"A Zewge, K Weldemariam, S Hailemariam…",On the use of goal-oriented methodology for designing agriculture services in developing countries,2012,Proceedings of the …,dl.acm.org,https://drive.google.com/open?id=0B_bAdNcWxr9KYkxka0tuOVVMSzA,"http://scholar.google.com/scholar?cites=13152601475434790007&as_sdt=2005&sciodt=0,5&hl=en&num=20",involved stakeholders to create design ideas to abstract requirements,Adama University,ET,"Fondazione Bruno Kessler, Addis Ababa University, Ministry of Comm. & IT","IT, IT, IT, ET, ET",ET,Scholarly Article,1,,,,,,,,139,4/1/2015,,developing countries,developing world,,,,,,,,,,
1,Z Ying,Product Design for Low-Income Group Base on User-Centered Design,2010,"Computational Intelligence and Design (ISCID), 2010 …",ieeexplore.ieee.org,https://drive.google.com/open?id=0B_bAdNcWxr9KcjNmdnZpaXlXVm8,"http://scholar.google.com/scholar?cites=14680717856289145129&as_sdt=2005&sciodt=0,5&hl=en&num=20",diet solution system created using user centered design in China,Beijing Institute of Graphic Communication,CN,n/a,n/a,CN,Scholarly Article,1,,,,,,,,41,4/1/2015,,poverty,low-income,developing countries,developing world,third world,international development,,,,,,
1,"A Kavanaugh, A Puckett, D Tatar",Scaffolding Technology for Low Literacy Groups: From Mobile Phone to Desktop PC?,2013,International Journal of Human- …,Taylor & Francis,https://drive.google.com/open?id=0B_bAdNcWxr9KY1hmUUVHNEVrblk,"http://scholar.google.com/scholar?cites=9925791109087672419&as_sdt=2005&sciodt=0,5&hl=en&num=20","US adults, low SES low computer literacy might learn basic computing skills thru cell phones.",Virginia Tech,US,"U Texas at Austin,","US, US",US,Scholarly Article,1,,,,,,,,372,4/1/2015,,poverty,low-income,developing countries,,,,,,,,,
1,"A Hope, W Brunette, W Gerard, J Keh, L Schlenke…",The Midwife's Assistant: Designing Integrated Learning Tools to Scaffold Ultrasound Practice,2012,Proc. of Information & …,,https://drive.google.com/open?id=0B_bAdNcWxr9KR0sxSm9qQmtmVFk,"http://scholar.google.com/scholar?cites=17953379809673897402&as_sdt=2005&sciodt=0,5&hl=en&num=20",we have designed an inexpensive ultrasound system composed of off-the-shelf hardware and custom software,University of Washington,US,ECUREI,"US, US, US, US, US, US, US, UG",UG,Scholarly Article,1,,,,,,1,,59,4/1/2015,CITATION,developing world,,,,,,,,,,,
0,"A Campbell, KG Brand",In-context and ecology immersion for resilience: an exploration of the design of a household farming kit,2014,,ujdigispace.uj.ac.za,https://ujdigispace.uj.ac.za/bitstream/handle/10210/12398/Campbell_2014%20Conference%20paper.pdf?sequence=1&isAllowed=y,"http://scholar.google.com/scholar?cluster=6847987573936997956&hl=en&num=20&as_sdt=0,5",how design ethnography informs design of household farming kit,Tshwane University of Technology (South Africa),ZA,University of Johannesburg (South Africa),ZA,ZA,Scholarly Article,1,,,,,,,,208,4/1/2015,,poverty,,,,,,,,,,,
0,"R Chhatpar, R Fabricant",Internet Design for Emerging Markets,2014,innovations,MIT Press,https://drive.google.com/open?id=0B_bAdNcWxr9KV1VfVmJxRTNrZFk,https://scholar.google.com/scholar?q=Internet+Design+for+Emerging+Markets&btnG=&hl=en&num=20&as_sdt=0%2C5,design of textual interfaces for internet literacy,Design Impact Group (London),"GB, US",Design Impact Group (US),n/a,"ZA, RW, KE, UG, ID",Scholarly Article,1,,,,,,,,240,4/1/2015,,developing countries,developing world,global development,,,,,,,,,
0,"C Catalani, E Green, P Owiti, A Keny, L Diero, A Yeung…",A Clinical Decision Support System for Integrating Tuberculosis and HIV Care in KE: A Human-Centered Design Approach,2014,PloS one,dx.plos.org,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0103205,"http://scholar.google.com/scholar?q=related:4Ejrd-heJ00J:scholar.google.com/&hl=en&num=20&as_sdt=0,5","Human-centered design approach used to facilitate design, development, and deployment processes of healthcare support system for medical providers in KE","Innovative Support to Emergency Disease & Disaster in Sunnyvale US, School of Public Health in University of California Berkeley US, Kijani Consulting in Chapel Hill North Carolina US, Duke University in Chapel Hill North Carolina US, Academic Model for the Prevention and Treatment of HIV (AMPATH) in Eldoret KE, Regenstrief Institute in Indiana University in Indianapolis Indiana US, School of Medicine in Stanford US,",US,n/a,"US, KE, US, KE, US, US, US, KE",KE,Scholarly Article,1,,1,,,,,,2,3/30/2015,HTML,resource-limited settings,resource-limited,low-resource,developing countries,international development,,,,,,,
0,"Y Jeong, S Kim, J Lee",A Design Process based on Field Research: An Adjustable Desk for Children in Rural India,2014,drs2014.org,,http://www.drs2014.org/media/654322/0298-file1.pdf,"http://scholar.google.com/scholar?q=related:zIc9VPQjhmQJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5",Research examines desk designs for children in developing countries that are having trouble in learning due to lacking education materials- using Ideo's HCD toolkit.,Seoul National University,KP,n/a,"KP, KP",IN,Scholarly Article,1,,1,,,,1,,80,4/1/2015,PDF,poverty,developing countries,international development,,,,,,,,,
0,"AK Sin, A Ahmad, HB Zaman…",A wearable device for the elderly: A case study in Malaysia,2014,"… and Multimedia (ICIMU), …",ieeexplore.ieee.org,https://drive.google.com/open?id=0B_bAdNcWxr9KS01XWmdtdlZrYm8,https://scholar.google.com/scholar?q=A+wearable+device+for+the+elderly%3A+A+case+study+in+Malaysia&btnG=&hl=en&num=20&as_sdt=0%2C5,"Study in Malaysia with different groups of
elderly to identify their problems of using technology and the ways of solving this problem",Insitute of Visual Informatics in Universiti Kebangsaan Malaysia,MY,n/a,"MY, MY, MY",MY,Scholarly Article,1,,1,,,,1,,262,4/1/2015,,developing countries,,,,,,,,,,,
0,N Takeyama,Co-designing with weaving communities in Laos,2014,Proceedings of the 13th Participatory Design …,dl.acm.org,https://drive.google.com/open?id=0B_bAdNcWxr9KZnFuQ3ZtWkxkTjQ,"http://scholar.google.com/scholar?q=related:WmDfT7DROPQJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5","co-design project, rethink material values",Nanyang Technological University (Singapore),SG,n/a,n/a,Laos,Scholarly Article,1,,,,,,,,135,4/1/2015,,developing world,,,,,,,,,,,
0,"S Lazem, A Shoa'la, M Elteir…",Designing Low-Cost Technologies to Improve the Quality of Learning and Health Services in Future Egyptian Smart Cities–Three Case Studies,2014,Social Media and …,2014.amecse-conferences.org,http://2014.amecse-conferences.org/wp-content/uploads/2014/07/AMECSE2014-Proceedings.pdf#page=43,"http://scholar.google.com/scholar?q=related:R-mDMbcAJ0wJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5","three case studies of Low-Cost Technologies to Improve the Quality
of Learning and Health Services in Future Egyptian Smart
Cities",n/a,EG,n/a,n/a,EG,Scholarly Article,1,,,,,,,,358,4/1/2015,PDF,developing countries,international development,,,,,,,,,,
0,"D Modi, R Gopalan, S Shah, S Venkatraman…","Development and formative evaluation of an innovative mHealth intervention for improving coverage of community-based maternal, newborn and child health …",2015,Global health …,ncbi.nlm.nih.gov,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4335194/,https://scholar.google.com/scholar?q=Development+and+formative+evaluation+of+an+innovative+mHealth+intervention+for+improving+coverage+of+community-based+maternal%2C+newborn+and+child+health+%E2%80%A6&btnG=&hl=en&num=20&as_sdt=0%2C5,article describes the process of mHealth intervention (ImTeCHO) to increase the coverage of health services in rural India,"Community Health Department of SEWA Rural in Gujarat India, Argusoft India Ltd. in Gandhinagar Gujarat India",IN,n/a,"IN, IN, IN, IN, IN, IN",IN,Scholarly Article,1,,1,,,,,,338,4/1/2015,HTML,poverty,,,,,,,,,,,
0,"J Liu, A Boden, DW Randall, V Wulf",Enriching the distressing reality: social media use by chinese migrant workers,2014,… of the 17th ACM conference on …,dl.acm.org,https://drive.google.com/open?id=0B_bAdNcWxr9KeU9WaGRUUFgzZ2M,"http://scholar.google.com/scholar?q=related:VwShKVLzV6cJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5",exploratory ethnographic research for IT in rural China,University of Siegen (Germany),DE,n/a,n/a,CN,Scholarly Article,1,,,,,,,,401,4/1/2015,,poverty,low-income,,,,,,,,,,
0,"H Tawfik, O Anya",Evaluating practice-centered awareness in cross-boundary telehealth decision support systems,2015,Telematics and Informatics,Elsevier,https://drive.google.com/open?id=0B_bAdNcWxr9KWWMwNEZaV3lfZUU,"http://scholar.google.com/scholar?q=related:nenTACQdNmoJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5",multi-method evaluation of the practice-centered awareness features of CaDHealth,"Department of Mathematics and Computer Science in Liverpool Hope University UK, Discovery Practices Research in Accelerated Discovery Lab IBM Research,",GB,n/a,US,NG,Scholarly Article,1,,1,,,,,,456,4/1/2015,,developing countries,,,,,,,,,,,
0,"M Ntinda, H Thinyane…",m-Learning system enhancing mathematical concepts (m-LSEMC): A case study of University of Namibia and Rhodes,2014,IST-Africa Conference …,ieeexplore.ieee.org,https://drive.google.com/open?id=0B_bAdNcWxr9KcHNjaFc4NjFpdlk,"http://scholar.google.com/scholar?q=related:sqTUvy8XbRUJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5",mobile phones as supplement for mathematics education,University of Namibia (Namibia),ZA,Rhodes University (South Africa),ZA,NA,Scholarly Article,1,,,,,,,,218,4/1/2015,,poverty,developing countries,,,,,,,,,,
0,"A Kumar, S Maskara",Revealing clinicians' experiences towards healthcare software usability using human–centred design approach,2015,Journal of Design Research,inderscience.metapress.com,https://drive.google.com/open?id=0B_bAdNcWxr9KTlVFcnNZUE5VMDQ,https://scholar.google.com/scholar?q=Revealing+clinicians%27+experiences+towards+healthcare+software+usability+using+human%E2%80%93centred+design+approach&btnG=&hl=en&num=20&as_sdt=0%2C5,"small study about clinicians' experiences towards healthcare software usability; study used the human–centred design approach that included three phases - observation, pattern identification, and ideation and delivery. study suggest that clinicians' experiences towards healthcare software usability are affected by the interface design of software.","Institute of Cognitive Neurosciene in the National Central University of Taiwan,",TW,The Practice South Woodham Ferreres in the UK,GB,IN,Scholarly Article,1,,1,,,,,,306,4/1/2015,,developing countries,,,,,,,,,,,
0,B Longo,"RU There? Cell Phones, Participatory Design, and Intercultural Dialogue",2014,,ieeexplore.ieee.org,https://drive.google.com/open?id=0B_bAdNcWxr9KZ0pEaWF2VERfZWs,"http://scholar.google.com/scholar?q=related:W0_TGqGWtjwJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5",system for people working in rural areas to share business information via mobile phones,Univ. Heights Newark,US,n/a,n/a,CD,Scholarly Article,1,,,,,,,,341,4/1/2015,,developing countries,developing world,international development,,,,,,,,,
0,"CA Le Dantec, S Fox","Strangers at the Gate: Gaining Access, Building Rapport, and Co-Constructing Community-Based Research",2015,ledantec.net,,https://drive.google.com/open?id=0B_bAdNcWxr9KckhMb1Zhb0hpUjQ,https://scholar.google.com/scholar?q=Strangers+at+the+Gate%3A+Gaining+Access%2C+Building+Rapport%2C+and+Co-Constructing+Community-Based+Research&btnG=&hl=en&num=20&as_sdt=0%2C5,"Paper about productive partnerships in community settings: developing relationships, demonstrating commitments, and overcoming personal and institutional barriers to community-based design research.","School of Literature Media & Communication Georgia Institute of Technology, Human Centered Design & Engineering University of Washington",US,n/a,n/a,US,Scholarly Article,,,1,1,1,,,,319,4/1/2015,PDF,poverty,low-income,,,,,,,,,,
0,"R Vedanthan, E Blank, N Tuikong, J Kamano…",Usability and Feasibility of a Tablet-Based Decision-Support and Integrated Record-Keeping (DESIRE) Tool in the Nurse Management of Hypertension in Rural …,2015,International Journal of …,Elsevier,http://ac.els-cdn.com/S1386505614002500/1-s2.0-S1386505614002500-main.pdf?_tid=deef9526-7c6c-11e5-86e4-00000aacb361&acdnat=1445924454_11878a3e313168c22a580f2330a9af6c,"http://scholar.google.com/scholar?q=related:KgleTIL9wNYJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5",study examines usability and feasibility testing of technology intended to assist rural clinicians taking care of hypertension patientsl in a resource-limited area in KE.,"Icahn School of Medicine at Mount Sinai in New York US, Centro Nacional de Investigaciones Cardiovasculares (CNIC) in Madrid Spain, Academic Model Providing Access to Healthcare Eldoret KE, Moi University's College of Health Sciences in School of Medicine of Eldoret KE, Indiana University School of Medicine & Regenstrief Institute Inc in Indianapolis Indiana,","US, ES, KE, ZA",n/a,n/a,KE,Scholarly Article,1,,1,,,,,,14,3/30/2015,,resource-limited,low-resource settings,low-resource,developing countries,,,,,,,,
0,"B Aryana, T Clemmensen, C Boks",Users' participation in requirements gathering for smart phones applications in emerging markets,2014,Universal Access in the Information …,Springer,https://drive.google.com/open?id=0B_bAdNcWxr9KYTV2N3otZFpIbFE,"http://scholar.google.com/scholar?q=related:NW389yQmIHAJ:scholar.google.com/&hl=en&num=20&as_sdt=0,5","country-specific customization of smart phones in two emerging markets, IR and Turkey",Norwegian University of Science and Technology,NO,"Copenhagen Business School,",NO. DK,"IR, TR",Scholarly Article,1,,1,,,,,,187,3/30/2015,,low-income,developing countries,global development,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
